"ID","Faction","Instance_Id","Supercedes","Title_Lang_enUS","Title_Lang_enGB","Title_Lang_koKR","Title_Lang_frFR","Title_Lang_deDE","Title_Lang_enCN","Title_Lang_zhCN","Title_Lang_enTW","Title_Lang_zhTW","Title_Lang_esES","Title_Lang_esMX","Title_Lang_ruRU","Title_Lang_ptPT","Title_Lang_ptBR","Title_Lang_itIT","Title_Lang_Unk","Title_Lang_Mask","Description_Lang_enUS","Description_Lang_enGB","Description_Lang_koKR","Description_Lang_frFR","Description_Lang_deDE","Description_Lang_enCN","Description_Lang_zhCN","Description_Lang_enTW","Description_Lang_zhTW","Description_Lang_esES","Description_Lang_esMX","Description_Lang_ruRU","Description_Lang_ptPT","Description_Lang_ptBR","Description_Lang_itIT","Description_Lang_Unk","Description_Lang_Mask","Category","Points","Ui_Order","Flags","IconID","Reward_Lang_enUS","Reward_Lang_enGB","Reward_Lang_koKR","Reward_Lang_frFR","Reward_Lang_deDE","Reward_Lang_enCN","Reward_Lang_zhCN","Reward_Lang_enTW","Reward_Lang_zhTW","Reward_Lang_esES","Reward_Lang_esMX","Reward_Lang_ruRU","Reward_Lang_ptPT","Reward_Lang_ptBR","Reward_Lang_itIT","Reward_Lang_Unk","Reward_Lang_Mask","Minimum_Criteria","Shares_Criteria"
"153","-1","-1","0","The Old Gnome and the Sea","노움과 바다","Le vieux gnome et la mer","Der alte Gnom und das Meer","老侏儒与海","地精老人與海","El viejo gnomo y el mar","El viejo gnomo y el mar","Старый гном и море","","","","","","","","16712190","Successfully fish from a school.","물고기 떼에서 낚시 성공","Pêcher un poisson dans un banc de poissons.","Angelt erfolgreich in einem Schwarm.","成功地从鱼群中钓上鱼来。","成功的在魚點中釣魚。","Pesca un pez en un banco.","Pesca un pez en un banco.","Выудите рыбу из косяка.","","","","","","","","16712190","171","10","6","0","3694","","","","","","","","","","","","","","","","","16712174","1","0"
"178","-1","-1","0","Enchanting formulae learned","배운 마법부여 주문식","Formules d'enchantement apprises","Erlernte Verzauberungsformeln","学习附魔公式","已學會的附魔公式","Fórmulas de encantamiento conocidas","Fórmulas de encantamiento conocidas","Изучено формул наложения чар","","","","","","","","16712190","Enchanting formulae learned","배운 마법부여 주문식","Formules d'enchantement apprises","Erlernte Verzauberungsformeln","学习附魔公式","已學會的附魔公式","Fórmulas de encantamiento conocidas","Fórmulas de encantamiento conocidas","Изучено формул наложения чар","","","","","","","","16712190","173","0","6","1","4","","","","","","","","","","","","","","","","","16712174","0","0"
"206","1","489","0","Supreme Defender","궁극의 수호자","Défenseur suprême","Überragender Verteidiger","超级防守者","無上防衛者","Defensor supremo","Defensor supremo","Лучший защитник","","","","","","","","16712190","Kill 100 flag carriers in Warsong Gulch.","전쟁노래 협곡에서 깃발 운반자 100회 처치","Tuer 100 porteurs de drapeau dans le goulet des Chanteguerres.","Tötet 100 Flaggenträger in der Kriegshymnenschlucht.","在战歌峡谷杀死100个携带旗帜者。","於戰歌峽谷中殺死100位旗幟持有者。","Mata a 100 portadores de la bandera en la Garganta Grito de Guerra.","Mata a 100 portadores de la bandera en la Garganta Grito de Guerra.","Убейте 100 персонажей, несущих флаг, в Ущелье Песни Войны.","","","","","","","","16712190","14804","10","6","0","3400","","","","","","","","","","","","","","","","","16712174","0","0"
"213","-1","566","0","Stormtrooper","폭풍의 돌격대","Le cyclone détruit tout sur son passage","Sturmtruppe","突击队员","暴風突襲兵","Soldado de asalto","Soldado de asalto","Штурмовик","","","","","","","","16712190","Kill 5 flag carriers in a single Eye of the Storm battle.","폭풍의 눈 단일 전투에서 깃발 운반자 5회 처치","Tuer 5 porteurs de drapeau dans une même bataille pour l'Œil du cyclone.","Tötet 5 Flaggenträger in einem einzigen Auge des Sturms.","在一场风暴之眼的战斗中杀死5名携带旗帜者。","於單場暴風之眼戰鬥中擊殺5名旗幟的持有者。","Mata a 5 portadores de la bandera en una sola batalla por el Ojo de la Tormenta.","Mata a 5 portadores de la bandera en una sola batalla por el Ojo de la Tormenta.","В течение одного сражения на Оке Бури убейте 5 персонажей, несущих флаг.","","","","","","","","16712190","14803","10","6","0","3401","","","","","","","","","","","","","","","","","16712174","0","0"
"277","-1","-1","0","'Tis the Season","즐거운 연말연시","Vive le vent d'hiver","Alle Jahre wieder","冬天来了","季節到了","Es la temporada","Es la temporada","Зимние деньки","","","","","","","","16712190","During the Feast of Winter Veil, wear 3 pieces of winter clothing and eat Graccu's Mince Meat Fruitcake.","겨울맞이 축제 기간 동안 겨울 의복 세 벌을 입고 그라추의 말린 과일 듬뿍 케이크를 먹기","Pendant la fête du Voile d'hiver, porter 3 pièces des atours d'hiver et manger un gâteau aux fruits secs de Graccu.","Zieht Euch während des Winterhauchfests 3 Winterkleidungsstücke an und esst Graccus hausgemachte Früchtepastete.","在冬幕节期间，穿着3件冬季服饰，然后吃下格拉库的肉松蛋糕。","在冬幕節期間，穿著3件冬天服飾並食用格拉庫的肉糜水果蛋糕。","Durante el Festival de Invierno, ponte tres prendas de invierno y come pastel de macedonia y carne de Graccu.","Durante el Festival de Invierno, ponte tres prendas de invierno y come pastel de macedonia y carne de Graccu.","Во время Зимнего Покрова наденьте 3 предмета из праздничного набора и съешьте кекс Гракку с мясом и фруктами.","","","","","","","","16712190","156","10","6","0","1789","","","","","","","","","","","","","","","","","16712174","0","0"
"284","-1","-1","0","A Mask for All Occasions","가면 수집가","Un masque en toutes occasions","Eine Maske für jede Gelegenheit","一张面具应万变","萬用面具","Una máscara para todas las ocasiones","Una máscara para todas las ocasiones","Маски на все случаи жизни","","","","","","","","16712190","Collect the 20 unique Flimsy Masks listed below.","아래 나열된 얇은 가면 20개 모으기","Collecter les 20 différents masques fragiles listés ci-dessous.","Sammelt die 20 unten aufgelisteten einzigartigen leichten Masken.","收集下列20种不同的劣质面具。","收集20種下列表中的劣質面具。","Reúne las 20 máscaras endebles de la lista.","Reúne las 20 máscaras endebles de la lista.","Соберите 20 тонких масок, указанных ниже.","","","","","","","","16712190","158","20","6","0","2953","","","","","","","","","","","","","","","","","16712174","0","0"
"322","-1","-1","0","Total deaths to Lich King dungeon bosses","리치 왕 던전 우두머리에게 죽은 전체 횟수","Morts sur des boss de donjons de Wrath of the Lich King","Tode durch Dungeonbosse insgesamt in Nordend","在《巫妖王之怒》地下城首领战中死亡的总次数","死於巫妖王之怒地城首領的總次數","Lich King: Muertes contra jefes (5 j.)","Lich King: Muertes contra jefes (5 j.)","Смерти в подземельях Lich King","","","","","","","","16712190","Total deaths to Lich King dungeon bosses","리치 왕 던전 우두머리에게 죽은 전체 횟수","Morts sur des boss de donjons de Wrath of the Lich King","Tode durch Dungeonbosse insgesamt in Nordend","在《巫妖王之怒》地下城首领战中死亡的总次数","死於巫妖王之怒地城首領的總次數","Lich King: Muertes contra jefes (5 j.)","Lich King: Muertes contra jefes (5 j.)","Смерти в подземельях Lich King","","","","","","","","16712190","125","0","6","9","4","","","","","","","","","","","","","","","","","16712174","0","0"
"329","-1","-1","0","Auctions posted","전체 경매 건수","Mises en vente à l'hôtel des ventes","Erstellte Auktionen","在拍卖行出售物品","委託拍賣總數","Cantidad de subastas creadas","Cantidad de subastas creadas","Объявленные аукционы","","","","","","","","16712190","Auctions posted","전체 경매 건수","Mises en vente à l'hôtel des ventes","Erstellte Auktionen","在拍卖行出售物品","委託拍賣總數","Cantidad de subastas creadas","Cantidad de subastas creadas","Объявлено аукционов","","","","","","","","16712190","140","0","6","1","4","","","","","","","","","","","","","","","","","16712174","0","0"
"338","-1","-1","0","Vanity pets owned","소유한 애완동물","Mascottes possédées","Anzahl der besessenen Haustiere","获得小宠物","持有的小寵物數量","Mascotas de vanidad poseídas","Mascotas de vanidad poseídas","Количество спутников","","","","","","","","16712190","Vanity pets owned","소유한 애완동물","Mascottes possédées","Anzahl der besessenen Haustiere","获得小宠物","持有的小寵物數量","Mascotas de vanidad poseídas","Mascotas de vanidad poseídas","Количество спутников","","","","","","","","16712190","191","0","6","1","4","","","","","","","","","","","","","","","","","16712174","0","0"
"364","-1","-1","0","3v3 victories","3v3 경기 승리","Victoires en 3c3","3v3-Siege","3v3胜利","3v3獲勝次數","Victorias 3c3","Victorias 3c3","Победы в команде 3 на 3","","","","","","","","16712190","3v3 victories","3v3 경기 승리","Victoires en 3c3","3v3-Siege","3v3胜利","3v3獲勝次數","Victorias 3c3","Victorias 3c3","Победы в команде 3 на 3","","","","","","","","16712190","152","0","6","9","4","","","","","","","","","","","","","","","","","16712174","0","0"
"399","-1","-1","0","Just the Two of Us: 1550","우리 둘이서 1,550","Rien que nous deux : 1550","Nur wir Zwei: 1.550","两人世界：1550","只有我倆:1550","Entre tú y yo: 1550","Entre tú y yo: 1550","Только ты и я: 1550","","","","","","","","16712190","Earn a 1550 personal rating in the 2v2 bracket of the arena at level 80.","80 레벨 2v2 투기장 개인 평점 1,550","Obtenir une cote personnelle de 1550 en équipe d'arène de 2c2 au niveau 80.","Erreicht auf Stufe 80 eine persönliche Wertung von 1.550 in der 2v2-Sparte der Arena.","在80级2v2竞技场战队中达到1550个人等级。","在等級80的2v2競技場賽程中獲得1550點個人積分。","Consigue un índice personal de 1550 en la rama de la arena 2c2 en el nivel 80.","Consigue un índice personal de 1550 en la rama de la arena 2c2 en el nivel 80.","Заслужите 1550 очков личного рейтинга в команде арены 2 на 2 на 80-м уровне.","","","","","","","","16712190","165","10","6","0","3039","","","","","","","","","","","","","","","","","16712174","0","0"
"463","-1","-1","0","Realm First! Level 80 Warlock","서버 최초 80 레벨 흑마법사","Démoniste « Prem's » au niveau 80 sur le royaume","Erster Stufe-80-Hexenmeister des Realms!","服务器第一！80级术士","伺服器首位!80級術士","¡Primero del reino! Brujo nivel 80","¡Primero del reino! Brujo nivel 80","1-й на сервере! Чернокнижник 80-го уровня","","","","","","","","16712190","First warlock on the realm to achieve level 80.","서버 최초로 80 레벨 흑마법사 달성","Premier démoniste du royaume à atteindre le niveau 80.","Erster Hexenmeister des Realms, der Stufe 80 erreicht hat.","本服务器第一个达到80级的术士。","伺服器首位達到80級的術士。","Primer brujo del reino que llega a nivel 80.","Primer brujo del reino que llega a nivel 80.","Первый чернокнижник на сервере, достигший 80-го уровня.","","","","","","","","16712190","81","0","6","256","155","","","","","","","","","","","","","","","","","16712174","0","0"
"483","-1","608","0","The Violet Hold","보랏빛 요새","Le fort Pourpre","Die Violette Festung","紫罗兰监狱","紫羅蘭堡","El Bastión Violeta","El Bastión Violeta","Аметистовая крепость","","","","","","","","16712190","Defeat Cyanigosa in The Violet Hold.","보랏빛 요새 시아니고사 처치","Vaincre Cyanigosa dans le fort Pourpre.","Bezwingt Cyanigosa in der Violetten Festung.","击败紫罗兰监狱的塞安妮苟萨。","擊敗紫羅蘭堡中的霞妮苟莎。","Derrota a Cianigosa en El Bastión Violeta.","Derrota a Cianigosa en El Bastión Violeta.","Убейте Синигосу в Аметистовой крепости.","","","","","","","","16712190","14806","10","6","0","3235","","","","","","","","","","","","","","","","","16712172","0","0"
"494","-1","608","0","Heroic: The Violet Hold","영웅: 보랏빛 요새","Le fort Pourpre : mode héroïque","Heroisch: Die Violette Festung","紫罗兰监狱（英雄难度）","英雄:紫羅蘭堡","Heroico: El Bastión Violeta","Heroico: El Bastión Violeta","Аметистовая крепость (героич.)","","","","","","","","16712190","Defeat Cyanigosa in The Violet Hold on Heroic Difficulty.","보랏빛 요새에서 시아니고사 처치 (영웅)","Vaincre Cyanigosa dans le fort Pourpre en mode héroïque.","Bezwingt Cyanigosa in der Violetten Festung auf dem Schwierigkeitsgrad 'Heroisch'.","击败紫罗兰监狱的塞安妮苟萨（英雄难度）。","擊敗英雄模式中紫羅蘭堡的霞妮苟莎。","Derrota a Cianigosa en El Bastión Violeta en dificultad heroica.","Derrota a Cianigosa en El Bastión Violeta en dificultad heroica.","Убейте Синигосу в Аметистовой крепости в героическом режиме.","","","","","","","","16712190","14921","10","6","0","3236","","","","","","","","","","","","","","","","","16712172","0","0"
"508","-1","-1","507","1500 Quests Completed","퀘스트 1,500개 완료","1 500 quêtes achevées","1.500 Quests abgeschlossen","完成1500个任务","1500個任務完成","1500 misiones completadas","1500 misiones completadas","1500 заданий","","","","","","","","16712190","Complete 1500 quests.","퀘스트 1,500개 완료","Achever 1 500 quêtes.","Schließt 1.500 Quests ab.","完成1500个任务。","完成1500個任務。","Completa 1500 misiones.","Completa 1500 misiones.","Выполните 1500 заданий.","","","","","","","","16712190","96","10","6","0","3416","","","","","","","","","","","","","","","","","16712174","0","0"
"509","-1","-1","512","10000 Honorable Kills","명예 승수 10,000","10 000 victoires honorables","10.000 ehrenhafte Siege","10000个荣誉击杀","10000次榮譽擊殺","10000 muertes con honor","10000 muertes con honor","10000 почетных побед в PvP","","","","","","","","16712190","Get 10000 honorable kills.","명예 승수 10,000","Obtenir 10 000 victoires honorables.","Erringt 10.000 ehrenhafte Siege.","达到10000个荣誉击杀。","達成10000次榮譽擊殺。","Consigue 10000 muertes con honor.","Consigue 10000 muertes con honor.","Одержите 10000 почетных побед в PvP.","","","","","","","","16712190","95","10","6","0","3462","","","","","","","","","","","","","","","","","16712174","0","0"
"519","-1","-1","520","25 Exalted Reputations","25개 세력과 확고한 동맹","25 réputations exaltées","25 ehrfürchtige Fraktionen","25个声望崇拜","25項聲望崇拜","25 reputaciones Exaltado","25 reputaciones Exaltado","Превознесение среди 25 фракций","","","","","","","","16712190","Raise 25 reputations to Exalted.","25개 세력과 확고한 동맹 달성","Monter 25 réputations jusqu'à Exalté.","Erreicht bei 25 Fraktionen einen ehrfürchtigen Ruf.","在25个势力中达到崇拜声望。","25項聲望提升至崇拜。","Eleva 25 reputaciones a Exaltado.","Eleva 25 reputaciones a Exaltado.","Добейтесь того, чтобы вас превозносили 25 фракций.","","","","","","","","16712190","201","10","6","0","3605","","","","","","","","","","","","","","","","","16712174","0","0"
"568","-1","533","0","The Military Quarter (10 player)","군사 지구 (10인)","Le quartier Militaire (10 joueurs)","Das Militärviertel (10 Spieler)","军事区（10人）","軍事區(10人)","El Arrabal Militar (10 j.)","El Arrabal Militar (10 j.)","Военный квартал (10 игроков)","","","","","","","","16712190","Defeat the bosses of The Military Quarter of Naxxramas in 10 player mode.","낙스라마스 군사 지구 우두머리 처치 (10인)","Vaincre les boss du quartier Militaire à Naxxramas en mode 10 joueurs.","Bezwingt die Bosse im Militärviertel von Naxxramas im 10-Spieler-Modus","击败纳克萨玛斯军事区的首领（10人）。","擊敗納克薩瑪斯10人模式中的軍事區首領。","Derrota a los jefes de El Arrabal Militar de Naxxramas en el modo de 10 jugadores.","Derrota a los jefes de El Arrabal Militar de Naxxramas en el modo de 10 jugadores.","Убейте боссов Военного Квартала смерти Наксрамаса в рейде на 10 игроков.","","","","","","","","16712190","14922","10","6","0","2639","","","","","","","","","","","","","","","","","16712172","0","0"
"569","-1","533","0","The Military Quarter (25 player)","군사 지구 (25인)","Le quartier Militaire (25 joueurs)","Das Militärviertel (25 Spieler)","军事区（25人）","軍事區(25人)","El Arrabal Militar (25 j.)","El Arrabal Militar (25 j.)","Военный квартал (25 игроков)","","","","","","","","16712190","Defeat the bosses of The Military Quarter of Naxxramas in 25-player mode.","낙스라마스 군사 지구 우두머리 처치 (25인)","Vaincre les boss du quartier Militaire à Naxxramas en mode 25 joueurs.","Bezwingt die Bosse im Militärviertel von Naxxramas im 25-Spieler-Modus.","击败纳克萨玛斯军事区的首领（25人）。","擊敗納克薩瑪斯25人模式中的軍事區首領。","Derrota a los jefes de El Arrabal Militar de Naxxramas en el modo de 25 jugadores.","Derrota a los jefes de El Arrabal Militar de Naxxramas en el modo de 25 jugadores.","Убейте боссов Военного Квартала Наксрамаса в рейде на 25 игроков.","","","","","","","","16712190","14923","10","6","0","2639","","","","","","","","","","","","","","","","","16712172","0","0"
"626","-1","-1","0","Lunar Festival Finery","달의 축제 의상","Parure de la fête lunaire","Mondfestgarderobe","春节服装","新年節慶華服","Las mejores para el Festival Lunar","Las mejores para el Festival Lunar","Уборы Лунного фестиваля","","","","","","","","16712190","Purchase a festive pant suit or festive dress with Coins of Ancestry.","선조의 주화로 달의 축제 의상 또는 축제 드레스 구입","Acheter un habit de fête ou une robe de fête avec les pièces des ancêtres.","Kauft mit Münzen der Urahnen einen festlichen Hosenanzug oder ein festliches Kleid.","使用先祖硬币购买一件节日裤装或者节日裙装。","使用先祖硬幣購買節慶長褲套裝或節慶裙裝。","Compra un traje pantalón de fiesta o un vestido de fiesta con monedas de linaje.","Compra un traje pantalón de fiesta o un vestido de fiesta con monedas de linaje.","Приобретите праздничный костюм или праздничное платье за монеты наследия.","","","","","","","","16712190","160","10","6","0","2789","","","","","","","","","","","","","","","","","16712174","1","0"
"633","-1","-1","0","Stormwind Stockade","스톰윈드 지하감옥","Prison de Hurlevent","Verlies von Sturmwind","暴风城监狱","暴風城監獄","Mazmorras de Ventormenta","Mazmorras de Ventormenta","Тюрьма Штормграда","","","","","","","","16712190","Defeat Bazil Thredd.","바질 스레드 처치","Vaincre Bazil Thredd.","Bezwingt Bazil Thredd.","击败巴基尔·斯瑞德。","擊敗巴基爾·斯瑞德。","Derrota a Bazil Thredd.","Derrota a Bazil Thredd.","Убейте Базиля Тредда.","","","","","","","","16712190","14808","10","6","0","3652","","","","","","","","","","","","","","","","","16712174","1","0"
"666","-1","-1","0","Auchenai Crypts","아키나이 납골당","Cryptes Auchenaï","Auchenaikrypta","奥金尼地穴","奧奇奈地穴","Criptas Auchenai","Criptas Auchenai","Аукенайские гробницы","","","","","","","","16712190","Defeat Exarch Maladaar.","총독 말라다르 처치","Vaincre l'exarque Maladaar.","Bezwingt Exarch Maladaar.","击败大主教玛拉达尔。","擊敗主教瑪拉達爾。","Derrota al exarca Maladaar.","Derrota al exarca Maladaar.","Убейте экзарха Маладаара.","","","","","","","","16712190","14805","10","6","0","3590","","","","","","","","","","","","","","","","","16712174","1","0"
"735","-1","-1","0","Working Day and Night","주야장천","Bourreau de travail","Nichts als Arbeit","全天不休","日以繼夜工作","Trabajar día y noche","Trabajar día y noche","Работать от рассвета до заката","","","","","","","","16712190","Become a Grand Master in two professions.","2개 전문 기술 거장 되기","Devenir grand maître dans deux métiers.","Werdet Großmeister in zwei Berufen.","在两种专业中达到宗师级水准。","習得兩種宗師級專業技能。","Conviértete en gran maestro en dos profesiones.","Conviértete en gran maestro en dos profesiones.","Станьте великим мастером двух профессий.","","","","","","","","16712190","169","10","6","0","162","","","","","","","","","","","","","","","","","16712174","2","0"
"801","-1","-1","0","Resurrected by soulstones","영혼석으로 부활한 횟수","Résurrections par pierres d'âmes","Wiederbelebungen durch Seelensteine","被灵魂石复活","由靈魂石復活","Resucitado con piedras de alma","Resucitado con piedras de alma","Вы воскресали при помощи камня души","","","","","","","","16712190","Resurrected by soulstones","영혼석으로 부활한 횟수","Résurrections par pierres d'âmes","Wiederbelebungen durch Seelensteine","被灵魂石复活","由靈魂石復活次數","Resucitado con piedras de alma","Resucitado con piedras de alma","Вы воскресали при помощи камня души","","","","","","","","16712190","127","0","6","9","1","","","","","","","","","","","","","","","","","16712174","0","0"
"802","-1","-1","0","Explore Westfall","서부 몰락지대 탐험","Exploration de la marche de l'Ouest","Erforscht Westfall","探索西部荒野","探索西部荒野","Páramos de Poniente","Páramos de Poniente","Западный Край","","","","","","","","16712190","Explore Westfall, revealing the covered areas of the world map.","서부 몰락지대 탐험 및 지역 발견","Explorer la marche de l'Ouest et révéler les zones voilées de la carte du monde.","Erforscht Westfall und enthüllt die verdeckten Gebiete auf der Weltkarte.","探索西部荒野，走过世界地图中被遮住的各个角落。","探索西部荒野，解開世界地圖上未知的區域。","Explora los Páramos de Poniente y descubre todas las zonas cubiertas del mapa del mundo.","Explora los Páramos de Poniente y descubre todas las zonas cubiertas del mapa del mundo.","Исследуйте Западный Край, открыв все его области на карте.","","","","","","","","16712190","14777","10","6","0","3572","","","","","","","","","","","","","","","","","16712174","0","0"
"829","-1","-1","0","Largest heal received","받은 최대 치유","Plus gros soin reçu","Höchste erhaltene Heilung","受到的最大治疗","承受過最大的治療量","Mayor sanación recibida","Mayor sanación recibida","Макс. кол-во здоровья, исцеленного заклинанием","","","","","","","","16712190","Largest heal received","받은 최대 치유","Plus gros soin reçu","Höchste erhaltene Heilung","受到的最大治疗","承受過最大的治療量","Mayor sanación recibida","Mayor sanación recibida","Макс. кол-во здоровья, исцеленного заклинанием","","","","","","","","16712190","141","0","6","1","1","","","","","","","","","","","","","","","","","16712174","0","0"
"843","-1","-1","0","Explore Netherstorm","황천의 폭풍 탐험","Exploration de Raz-de-Néant","Erforscht Nethersturm","探索虚空风暴","探索虛空風暴","Tormenta Abisal","Tormenta Abisal","Пустоверть","","","","","","","","16712190","Explore Netherstorm, revealing the covered areas of the world map.","황천의 폭풍 탐험 및 지역 발견","Explorer Raz-de-Néant et révéler les zones voilées de la carte du monde.","Erforscht Nethersturm und enthüllt die verdeckten Gebiete auf der Weltkarte.","探索虚空风暴，走过世界地图中被遮住的各个角落。","探索虛空風暴，解開世界地圖上未知的區域。","Explora Tormenta Abisal y descubre todas las zonas cubiertas del mapa del mundo.","Explora Tormenta Abisal y descubre todas las zonas cubiertas del mapa del mundo.","Исследуйте Пустоверть, открыв все ее области на карте.","","","","","","","","16712190","14779","10","6","0","3564","","","","","","","","","","","","","","","","","16712174","0","0"
"844","-1","-1","0","Explore Darkshore","어둠의 해안 탐험","Exploration de Sombrivage","Erforscht die Dunkelküste","探索黑海岸","探索黑海岸","Costa Oscura","Costa Oscura","Темные берега","","","","","","","","16712190","Explore Darkshore, revealing the covered areas of the world map.","어둠의 해안 탐험 및 지역 발견","Explorer Sombrivage et révéler les zones voilées de la carte du monde.","Erforscht die Dunkelküste und enthüllt die verdeckten Gebiete auf der Weltkarte.","探索黑海岸，走过世界地图中被遮住的各个角落。","探索黑海岸，解開世界地圖上未知的區域。","Explora Costa Oscura y descubre todas las zonas cubiertas del mapa del mundo.","Explora Costa Oscura y descubre todas las zonas cubiertas del mapa del mundo.","Исследуйте Темные берега, открыв все их области на карте.","","","","","","","","16712190","14778","10","6","0","3553","","","","","","","","","","","","","","","","","16712174","0","0"
"877","-1","-1","0","The Cake Is Not A Lie","케이크를 정말로 준다니까요!","Le gâteau n'est pas un mensonge","Der Kuchen ist keine Lüge","蛋糕不是谎言","這蛋糕不是騙人的","La tarta es de verdad","La tarta es de verdad","Торт – это не выдумка!","","","","","","","","16712190","Bake a Delicious Chocolate Cake.","맛좋은 초콜릿 케이크 굽기","Cuisiner un gâteau au chocolat délicieux.","Backt einen köstlichen Schokoladenkuchen.","烘焙一块美味巧克力蛋糕。","烘烤一個美味的巧克力蛋糕。","Hornea un pastel de chocolate delicioso.","Hornea un pastel de chocolate delicioso.","Испеките вкусный шоколадный торт.","","","","","","","","16712190","170","10","6","0","2917","","","","","","","","","","","","","","","","","16712174","0","0"
"897","-1","-1","0","You're So Offensive","너무 무너진 당신","Chef des opérations","Welch eine Offensive","残阳勇士","你的進攻真猛烈","Resultas muy ofensivo","Resultas muy ofensivo","Солнечный удар","","","","","","","","16712190","Earn exalted status with the Shattered Sun Offensive.","무너진 태양 공격대 확고한 동맹","Être exalté auprès de l'opération Soleil brisé.","Erreicht bei der Offensive der zerschmetterten Sonne den Status ehrfürchtig.","在破碎残阳阵营中达到崇拜声望。","取得破碎之日進攻部隊的聲望崇拜。","Alcanza la reputación Exaltado con la Ofensiva Sol Devastado.","Alcanza la reputación Exaltado con la Ofensiva Sol Devastado.","Добейтесь того, чтобы вас превозносила Армия Расколотого Солнца.","","","","","","","","16712190","14865","10","6","0","2807","","","","","","","","","","","","","","","","","16712174","0","0"
"1007","-1","-1","0","The Wyrmrest Accord","고룡쉼터 사원 용군단","L'Accord du Repos du ver","Der Wyrmruhpakt","龙眠联军","龍眠協調者","El Acuerdo del Reposo del Dragón","El Acuerdo del Reposo del Dragón","Драконий союз","","","","","","","","16712190","Earn exalted status with The Wyrmrest Accord.","고룡쉼터 사원 용군단 확고한 동맹","Être exalté auprès de l'Accord du Repos du ver.","Erreicht beim Wyrmruhpakt den Status ehrfürchtig.","在龙眠联军阵营中达到崇拜声望。","取得龍眠協調者的聲望崇拜。","Alcanza la reputación Exaltado con El Acuerdo del Reposo del Dragón.","Alcanza la reputación Exaltado con El Acuerdo del Reposo del Dragón.","Добейтесь того, чтобы вас превозносили в Драконьем союзе.","","","","","","","","16712190","14866","10","6","0","3684","","","","","","","","","","","","","","","","","16712174","0","0"
"1024","1","530","0","Flame Warden of Outland","아웃랜드 불꽃감시자","Gardien des flammes d'Outreterre","Flammenwächter der Scherbenwelt","外域护焰者","外域火焰看守者","Celador de las llamas de Terrallende","Celador de las llamas de Terrallende","Страж огня Запределья","","","","","","","","16712190","Honor the flames of Outland.","아웃랜드에 있는 불꽃에 경의 표시하기","Honorer les flammes d'Outreterre.","Ehrt die Flammen der Scherbenwelt.","祭拜外域的火焰。","榮耀外域的火焰","Honra las llamas de Terrallende.","Honra las llamas de Terrallende.","Почтите огни Запределья.","","","","","","","","16712190","161","10","6","0","1923","","","","","","","","","","","","","","","","","16712174","0","0"
"1065","-1","-1","0","Total waves","전체 /손인사 횟수","Nombre total de signes de la main","Winken insgesamt (/winken)","招手的总次数","揮手總數","Veces que has hecho /saludar","Veces que has hecho /saludar","Сколько раз вы помахали рукой","","","","","","","","16712190","Total waves","전체 /손인사 횟수","Nombre total de signes de la main","Winken insgesamt (/winken)","招手的总次数","揮手總數","Veces que has hecho /saludar","Veces que has hecho /saludar","Сколько раз вы помахали рукой","","","","","","","","16712190","131","0","6","1","1","","","","","","","","","","","","","","","","","16712174","0","0"
"1073","-1","558","0","Exarch Maladaar kills (Auchenai Crypts)","총독 말라다르 처치 (아키나이 납골당)","Morts de l'exarque Maladaar (Cryptes Auchenaï)","Siege über Exarch Maladaar (Auchenaikrypta)","杀死大主教玛拉达尔（奥金尼地穴）","主教瑪拉達爾擊殺數(奧奇奈地穴)","Muertes del exarca Maladaar (Criptas Auchenai)","Muertes del exarca Maladaar (Criptas Auchenai)","Убийства экзарха Маладаара (Аукенайские гробницы)","","","","","","","","16712190","Exarch Maladaar kills (Auchenai Crypts)","총독 말라다르 처치 (아키나이 납골당)","Morts de l'exarque Maladaar (Cryptes Auchenaï)","Siege über Exarch Maladaar (Auchenaikrypta)","杀死大主教玛拉达尔（奥金尼地穴）","主教瑪拉達爾擊殺數(奧奇奈地穴)","Muertes del exarca Maladaar (Criptas Auchenai)","Muertes del exarca Maladaar (Criptas Auchenai)","Убийства экзарха Маладаара (Аукенайские гробницы)","","","","","","","","16712190","14822","5","6","1","2796","","","","","","","","","","","","","","","","","16712174","0","0"
"1097","-1","329","0","Baron Rivendare kills (Stratholme)","남작 리븐데어 처치 (스트라솔름)","Morts du baron Vaillefendre (Stratholme)","Siege über Baron Totenschwur (Stratholme)","杀死瑞文戴尔男爵（斯坦索姆）","瑞文戴爾男爵擊殺數(斯坦索姆)","Muertes del Barón Osahendido (Stratholme)","Muertes del Barón Osahendido (Stratholme)","Убийства барона Ривендера (Стратхольм)","","","","","","","","16712190","Baron Rivendare kills (Stratholme)","남작 리븐데어 처치 (스트라솔름)","Morts du baron Vaillefendre (Stratholme)","Siege über Baron Totenschwur (Stratholme)","杀死瑞文戴尔男爵（斯坦索姆）","瑞文戴爾男爵擊殺數(斯坦索姆)","Muertes del Barón Osahendido (Stratholme)","Muertes del Barón Osahendido (Stratholme)","Убийства барона Ривендера (Стратхольм)","","","","","","","","16712190","14821","5","6","1","2718","","","","","","","","","","","","","","","","","16712174","0","0"
